number_id,name,province,published_at_date,review_text,rating,sentiment
1,Pantai Cipta,Jawa Tengah,2025-04-29T01:44:27,"Pantai Cipta semarang
Lokasi dekat jalur pantura
Datang malam hari
Dipos security diminta uang limaribuperorang
Jalan masuk rusak parah
Tanah bergelombang parah karena dilalui kendaraan berat
Kontainer dll
Kalau hujan bakalan lebih parah
Terus ke utara ke semananjungnya
Kotor sekali pantainya

Kalau malam lumayan ada lampu kelap kelip dikejauhan

Angin sepoi sepoi",3,Negative
2,Pantai Cipta,Jawa Tengah,2025-04-24T14:35:56,Pantainya sedikit kotor dan jalannya lumayan rusak tapi masih bisa dinikmati sembari minum kopi di bibir pantai dan juga lokasinya yang tidak terlalu jauh dari kota,4,
3,Pantai Cipta,Jawa Tengah,2025-04-11T15:18:22,Spot mancing rucahan segala ikan,4,Positive
4,Pantai Cipta,Jawa Tengah,2025-03-29T07:56:58,Lumayan bagus buat nyore hari..cuma sayang akses masuknya yg harus di perbaiki....,4,Neutral
5,Pantai Cipta,Jawa Tengah,2024-12-08T09:31:16,Smoga jadi tempat wisata yang menarik,5,Neutral
6,Pantai Cipta,Jawa Tengah,2024-11-24T10:02:14,"Pantai nya jelek, gak terawat, sepertinya memang tidak ada yg mengelola tapii banyak Pungli!! Kwkewk",3,Negative
7,Pantai Cipta,Jawa Tengah,2024-09-30T14:24:14,"Bagus sih tempatnya, mungkin klo di kelola bisa lebih bagus lebih ramai, sayang jalannya masih batu+tanah, ga kebayang klo pas musim ujan kekmana beceknya",5,Negative
8,Pantai Cipta,Jawa Tengah,2024-09-30T08:23:19,Kawasan banyak teleler tp jln mengenaskan parah,1,Negative
9,Pantai Cipta,Jawa Tengah,2024-09-28T19:02:11,"Pantainya lumayan bagus, airnya lumayan bening, tapi jalan masuknya rusak & ada pungli 5.000 oleh oknum kurang ajar, pemalak berkedok security, hati-hati wahai warga yg berkunjung ke sana, siap-siap melawan oknum kurang ajar itu;
pantai itu belum dikelola sbg tempat wisata, 5.000 itu jelas bukan HTM (Harga Tiket Masuk) karena tidak ada bukti Tiket resminya, itu jelas pungutan liar",2,Negative
10,Pantai Cipta,Jawa Tengah,2024-09-10T10:05:45,"Tempat nya menarik, view bagus untuk nongkrong sama keluarga teman cocok.
Kalau mau jajan ada warung dekat pantai.",5,Positive
11,Pantai Cipta,Jawa Tengah,2024-09-05T14:43:34,"senjanya bagus disini, akses jalannya harus hati-hati, pantai hidden gem yg cocok buat nyunset di Semarang",5,Positive
12,Pantai Cipta,Jawa Tengah,2024-08-27T10:45:52,Jalan rusak menuju lokasi,3,Negative
14,Pantai Cipta,Jawa Tengah,2024-07-22T13:47:19,"Salah satu spot senja terbaik di kota semarang. Bisa buat main air sama spot mancing. Hanya perlu beberapa warung terdekat dan fasilitas kamar mandi sih.
Kesini bersama keluarga cocok juga ,apalagi kalau sore buat yg pasangan2 pecinta senja cocok bgt.sambil gitaran n ngopi2.
Lokasi cukup mudah di jangkau hanya mungkin kalau sedang musim rob atau musim hujan jalannya agak licin soalnya pintu masuk truk2 kontainer gt.
Untuk skrng sih ada warung terdekat,serta ada sewa perahu untuk diantar ke rumpon atau spot mancing yg ditengah laut sna.
Bisa lihat kapal feri dan kapal2 besar lainnya.mantap",5,Positive
15,Pantai Cipta,Jawa Tengah,2024-07-16T17:41:22,Biar bintang yg menentukan,4,Neutral
16,Pantai Cipta,Jawa Tengah,2024-07-14T23:40:32,Ya begitulah...tidak ada perawatan pantai,5,Negative
17,Pantai Cipta,Jawa Tengah,2024-07-06T14:47:20,Semoga kamu menjadi kamu yang kamu kamu,5,Neutral
18,Pantai Cipta,Jawa Tengah,2024-06-10T05:17:03,Jalan nya udah bagus,5,Positive
19,Pantai Cipta,Jawa Tengah,2024-06-07T05:02:33,"Anginnya sepoi sepoi mantappp. Kemarin kesana waktu lagi sepi jadinya ndak ada uang parkir ataupun uang masuk pantai, mines cuma ada di jalan waktu kesana. Overall oke sihh",5,Positive
20,Pantai Cipta,Jawa Tengah,2024-03-31T00:12:28,"Tempat nya bagus , spot mancing yg menarik",5,Positive
21,Pantai Cipta,Jawa Tengah,2024-03-13T07:41:36,Lumayan buat sport mancing dan buat santai enakan yg sepi konon bisa 24 jam di pantai ngak seperti di pantai sebelah,5,Positive
22,Pantai Cipta,Jawa Tengah,2024-03-03T12:18:11,"Jalanan menuju pantai nya brutal
Pantai: nya kotor banyak sampah tolong kesadaran masyarakat untuk jangan membuang sampah sembarangan
Air: nya butek
Sejauh mata memandang tetap saja air nya sama ku kira bersih ternyata kotor
Tidak sesuai di google   di google foto nya bagus indah eh pas di tadengin kotor",1,Negative
23,Pantai Cipta,Jawa Tengah,2023-12-29T06:13:50,Pemandangan bagus asri,5,Positive
24,Pantai Cipta,Jawa Tengah,2023-12-26T18:29:39,"Lokasi Pantai Cipta tepatnya di Jalan Cipta Raya, belakang Terminal Petikemas, Tanjung Emas.",5,Neutral
25,Pantai Cipta,Jawa Tengah,2023-11-29T01:51:27,Pemandangan bangus bnget,5,Positive
26,Pantai Cipta,Jawa Tengah,2023-11-28T06:28:52,Ya gitulah gag harus dijelaskan,5,Neutral
27,Pantai Cipta,Jawa Tengah,2023-11-12T12:38:21,Perlu pengelolaan pemerintah setempat,2,Negative
28,Pantai Cipta,Jawa Tengah,2023-11-04T13:03:31,"Masih perlu penataan dan pengelolaan yg baik, sediakan tempat sampah dan mck yg bersih",3,Negative
29,Pantai Cipta,Jawa Tengah,2023-10-31T10:57:09,"Lebih bagus kalo jalan diperbaiki, dicor seperti marina biar enak buat mancing",5,Negative
30,Pantai Cipta,Jawa Tengah,2023-10-16T13:36:22,Wisata yang menarik untuk di kunjungi,5,Positive
31,Pantai Cipta,Jawa Tengah,2023-10-16T12:15:11,Keren banget asli apa lagi pas senja Dateng,5,Positive
32,Pantai Cipta,Jawa Tengah,2023-09-29T09:55:00,Apakah ada yg di mintai restribilusi oleh oknum petugas keamanan.walaupun sudah pegang tiket masuk.,1,Neutral
33,Pantai Cipta,Jawa Tengah,2023-09-18T03:33:25,"Jalannya sangat jelek (berkelombang), dan tidak mendukung, dan ternyata untuk pemancingan bukan wisata, belum lagi banyak truck kontainer yang lewat..",1,Negative
34,Pantai Cipta,Jawa Tengah,2023-09-15T13:47:05,"Masih perlu pemeliharaan, kotor, pengamanan pantai belum ada.",3,Negative
